2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1006 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1007 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1008 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1009 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 148]
2012-08-04 02:16:23 Debug: Quitar opciones a rol->id_rol->2 id_op-> usuario->
2012-08-04 02:17:34 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:18:46 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 02:18:46 Debug: opcion 1010 almacenada en, Opciones por->
2012-08-04 02:18:55 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:18:56 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:18:59 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:19:31 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 02:19:31 Debug: opcion 1011 almacenada en, Opciones por->
2012-08-04 02:19:37 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:19:38 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
